# 収録を見送った受賞作とその理由(タイトル|著者|受賞|理由)
# 情報源が増えたらここから再開する。

## あらすじの出典がどこにもない(楽天ブックス・楽天Kobo・日英Wikipediaのいずれにも紹介文/plot節なし)
ヴィーナス・シティ|柾悟郎|星雲賞1993|あらすじの出典なし(Wikipedia記事なし・楽天/Kobo紹介文なし)
DOMESDAY(ドームズデイ)|浦浜圭一郎|小松左京賞2000佳作|書誌・あらすじとも確認できず
ストレンジ・ランド|高橋桐矢|小松左京賞2000努力賞|Wikipediaに「未刊」と明記
不可視の檻|葉月十夏|ハヤカワSFコンテスト2019特別賞|NDL・楽天のいずれにも書誌がない
われらムゲン野球群|水町綜|ハヤカワSFコンテスト2026大賞|受賞発表直後で刊行前

## 編者もの・シリーズ単位のエントリ(1作品1タイトルの原則に合わない)
影が行く ホラーSF傑作選|中村融編|ベストSF2000 海外篇2位|編者によるアンソロジー
20世紀SF|中村融・山岸真編|ベストSF2001 海外篇2位|編者によるアンソロジー
90年代SF傑作選|山岸真編|ベストSF2002 海外篇3位|編者によるアンソロジー
折りたたみ北京 現代中国SFアンソロジー|ケン・リュウ編|ベストSF2018 海外篇1位|編者によるアンソロジー
異常論文|樋口恭介編|ベストSF2021 国内篇1位|編者によるアンソロジー
ガーンズバック変換|陸秋槎|ベストSF2023 海外篇3位|日本オリジナル編集で原題を一意に決められない
《ファージング》三部作|ジョー・ウォルトン|ベストSF2010 海外篇2位|シリーズ単位のエントリ。個別巻として要再調査
《十二国記》シリーズ|小野不由美|1990年代ベスト国内2位|シリーズ単位のエントリ。ファンタジーでもある

## SF小説ではない(ファンタジー)。SF賞の受賞作でも本DBの収録対象外
ハリー・ポッターと炎のゴブレット|J・K・ローリング|ヒューゴー賞2001|児童向けファンタジー
アメリカン・ゴッズ|ニール・ゲイマン|ヒューゴー賞2002/ネビュラ賞2003|現代ファンタジー
影の棲む城|ロイス・マクマスター・ビジョルド|ヒューゴー賞2004/ネビュラ賞2005|〈五神教〉のハイファンタジー
ジョナサン・ストレンジとミスター・ノレル|スザンナ・クラーク|ヒューゴー賞2005|歴史ファンタジー
墓場の少年|ニール・ゲイマン|ヒューゴー賞2009|児童向けファンタジー
図書室の魔法|ジョー・ウォルトン|ヒューゴー賞2012/ネビュラ賞2012|現代ファンタジー
イラクサ姫と骨の犬|T・キングフィッシャー|ヒューゴー賞2023|ファンタジー
記銘師ディンの事件録 木に殺された男|ロバート・ジャクソン・ベネット|ヒューゴー賞2025|ファンタジー・ミステリ
帰還――最後の書|アーシュラ・K・ル＝グウィン|ネビュラ賞1991|〈ゲド戦記〉のファンタジー
落ちゆく女|パット・マーフィー|ネビュラ賞1988|英語版Wikipediaがpsychological fantasyと分類
パワー|アーシュラ・K・ル＝グウィン|ネビュラ賞2009|〈西のはての年代記〉のファンタジー
ドラゴンの塔|ナオミ・ノヴィク|ネビュラ賞2016|ファンタジー
精霊を統べる者|P・ジェリ・クラーク|ネビュラ賞2022|ファンタジー
ストレンジ・トイズ|パトリシア・ギアリー|PKD賞1988|英語版Wikipediaがfantasy novelと明記
黒龍とお茶を|R・A・マカヴォイ|PKD特別賞1984|ファンタジー

## 資料間で食い違うため受賞歴を入れていない(作品自体は登録済み)
マン・カインド|藤井太洋|星雲賞第53回|Wikipediaは2022年受賞とするが書誌上の刊行年は2024年で整合しない
